model,parameter_value,q,w_q,k,omega_re,omega_im,A,B,delta_f_r0,I_rho,local_combo,direct_A,direct_B,abs_A_error,abs_B_error
Bardeen,0.36666666666666664,0.36666666666666664,,,0.7870495891841788,-0.09478760900954783,0.02240740740740743,-0.014938271604938214,0.014938271604938286,0.001783124825381422,0.00033020830099655897,0.022407407407407404,-0.014938271604938269,2.7755575615628914e-17,5.551115123125783e-17
Bardeen,0.4,0.4,,,0.7903283684906877,-0.09451437740067208,0.026666666666666616,-0.01777777777777778,0.017777777777777743,0.0021220659078919337,0.00039297516812813625,0.026666666666666672,-0.01777777777777778,5.551115123125783e-17,0.0
Bardeen,0.43333333333333335,0.43333333333333335,,,0.793892259041241,-0.0942173865214593,0.03129629629629638,-0.020864197530864104,0.02086419753086425,0.0024904801280120725,0.000461200023705938,0.0312962962962963,-0.0208641975308642,7.632783294297951e-17,9.71445146547012e-17
Bardeen,0.4666666666666667,0.4666666666666667,,,0.7977412608358385,-0.09389663637190951,0.03629629629629627,-0.024197530864197514,0.024197530864197514,0.0028883674857418024,0.0005348828677299634,0.0362962962962963,-0.02419753086419753,2.7755575615628914e-17,1.734723475976807e-17
Bardeen,0.5,0.5,,,0.8018753738744803,-0.0935521269520227,0.04166666666666674,-0.02777777777777779,0.027777777777777825,0.0033157279810811587,0.0006140237002002143,0.041666666666666664,-0.027777777777777776,7.632783294297951e-17,1.3877787807814457e-17
Bardeen,0.5333333333333333,0.5333333333333333,,,0.8062945981571662,-0.09318385826179887,0.04740740740740734,-0.03160493827160482,0.03160493827160489,0.0037725616140301065,0.0006986225211166858,0.047407407407407405,-0.03160493827160494,6.245004513516506e-17,1.1796119636642288e-16
Bardeen,0.5666666666666667,0.5666666666666667,,,0.8109989336838965,-0.092791830301238,0.05351851851851852,-0.03567901234567905,0.03567901234567901,0.004258868384588681,0.0007886793304793857,0.053518518518518514,-0.03567901234567901,6.938893903907228e-18,4.163336342344337e-17
Bardeen,0.6,0.6,,,0.8159883804546711,-0.09237604307034013,0.06000000000000005,-0.040000000000000036,0.040000000000000036,0.004774648292756864,0.0008841941282883083,0.06,-0.04,5.551115123125783e-17,3.469446951953614e-17
Bardeen,0.6333333333333333,0.6333333333333333,,,0.82126293846949,-0.09193649656910523,0.06685185185185194,-0.044567901234567886,0.044567901234567955,0.005319901338534657,0.0009851669145434544,0.06685185185185184,-0.0445679012345679,9.71445146547012e-17,1.3877787807814457e-17
Bardeen,0.6666666666666666,0.6666666666666666,,,0.8268226077283529,-0.0914731907975333,0.07407407407407396,-0.04938271604938271,0.04938271604938264,0.005894627521922041,0.001091597689244823,0.07407407407407407,-0.04938271604938271,1.1102230246251565e-16,0.0
Bardeen,0.7,0.7,,,0.8326673882312602,-0.09098612575562437,0.08166666666666655,-0.054444444444444295,0.054444444444444365,0.006498826842919051,0.0012034864523924162,0.08166666666666665,-0.054444444444444434,9.71445146547012e-17,1.3877787807814457e-16
Bardeen,0.7333333333333333,0.7333333333333333,,,0.838797279978212,-0.0904753014433784,0.08962962962962973,-0.059753086419753076,0.059753086419753146,0.007132499301525688,0.0013208332039862378,0.08962962962962961,-0.059753086419753076,1.1102230246251565e-16,0.0
Bardeen,0.7666666666666666,0.7666666666666666,,,0.8452122829692078,-0.08994071786079541,0.09796296296296303,-0.06530864197530861,0.06530864197530868,0.007795644897741916,0.0014436379440262801,0.09796296296296296,-0.06530864197530864,6.938893903907228e-17,2.7755575615628914e-17
