w,Q,r_ph,Omega,lambda,deltaOmega,deltaLambda,omega_re,omega_im,delta_omega_re,delta_omega_im
0.21739130434782608,0.017391304347826087,2.9413563518978143,0.1956960775591342,0.19495111629756295,0.003245987829258945,0.002500973277555607,0.7827843102365368,-0.09747555814878148,0.01298395131703578,-0.0012504866387778035
0.21739130434782608,0.021739130434782608,2.926554720319867,0.19653509015512566,0.19559793501337697,0.004085000425250396,0.0031477919933696197,0.7861403606205026,-0.09779896750668848,0.016340001701001583,-0.0015738959966848098
0.21739130434782608,0.026086956521739132,2.9116958767405445,0.19738558305238743,0.19625375908493506,0.004935493322512169,0.0038036160649277118,0.7895423322095497,-0.09812687954246753,0.019741973290048676,-0.0019018080324638559
0.21739130434782608,0.030434782608695653,2.896779348752235,0.19824780545560303,0.19691878571893454,0.0057977157257277645,0.004468642698927189,0.7929912218224121,-0.09845939285946727,0.023190862902911058,-0.0022343213494635944
0.21739130434782608,0.034782608695652174,2.8818046579170282,0.19912201394488147,0.19759321797783824,0.006671924215006203,0.005143074957830895,0.7964880557795259,-0.09879660898891912,0.026687696860024812,-0.0025715374789154477
0.21739130434782608,0.0391304347826087,2.866771319669454,0.20000847275228578,0.1982772649855951,0.00755838302241052,0.005827121965587739,0.8000338910091431,-0.09913863249279754,0.03023353208964208,-0.0029135609827938697
0.21739130434782608,0.043478260869565216,2.851678843210664,0.20090745405093083,0.1989711424835464,0.008457364321055566,0.00652099946353904,0.8036298162037233,-0.0994855712417732,0.033829457284222264,-0.00326049973176952
0.21739130434782608,0.04782608695652174,2.8365267313854896,0.2018192382573229,0.19967507245588476,0.009369148527447635,0.0072249294358774085,0.8072769530292916,-0.09983753622794238,0.03747659410979054,-0.0036124647179387043
0.21739130434782608,0.052173913043478265,2.8213144805905817,0.20274411434765466,0.20038928362262237,0.010294024617779396,0.007939140602615025,0.8109764573906186,-0.10019464181131119,0.041176098471117584,-0.003969570301307512
0.21739130434782608,0.05652173913043478,2.806041580646605,0.20368238018881482,0.201114012222458,0.011232290458939559,0.008663869202450658,0.8147295207552593,-0.100557006111229,0.044929161835758236,-0.004331934601225329
0.21739130434782608,0.06086956521739131,2.7907075146898377,0.2046343428849171,0.2018495013495216,0.012184253155041846,0.009399358329514246,0.8185373715396684,-0.1009247506747608,0.048737012620167386,-0.004699679164757123
0.21739130434782608,0.06521739130434782,2.775311759047953,0.20560031914020593,0.20259600205339426,0.013150229410330672,0.010145859033386911,0.8224012765608237,-0.10129800102669713,0.052600917641322686,-0.005072929516693456
0.21739130434782608,0.06956521739130435,2.7598537831256222,0.20658063563925033,0.20335377319845643,0.01413054590937507,0.010903630178449086,0.8263225425570013,-0.10167688659922822,0.05652218363750028,-0.005451815089224543
