w,Q,r_ph,Omega,lambda,deltaOmega,deltaLambda,omega_re,omega_im,delta_omega_re,delta_omega_im
0.043478260869565216,0.030434782608695653,2.9067321221437514,0.19749984187886094,0.19602094956633023,0.005049752148985676,0.0035708065463228855,0.7899993675154438,-0.09801047478316512,0.020199008595942702,-0.0017854032731614428
0.043478260869565216,0.034782608695652174,2.893176776708605,0.19825925574952966,0.1965585028989234,0.005809166019654394,0.004108359878916057,0.7930370229981186,-0.0982792514494617,0.023236664078617575,-0.0020541799394580285
0.043478260869565216,0.0391304347826087,2.8795619620316026,0.19902878143108596,0.19710335935649226,0.006578691701210698,0.004653216336484911,0.7961151257243438,-0.09855167967824613,0.026314766804842793,-0.0023266081682424555
0.043478260869565216,0.043478260869565216,2.8658871154643095,0.19980863590934816,0.19765567779744575,0.007358546179472902,0.005205534777438403,0.7992345436373927,-0.09882783889872288,0.02943418471789161,-0.0026027673887192015
0.043478260869565216,0.04782608695652174,2.852151666086824,0.20059904256317954,0.1982156216292006,0.008148952833304274,0.005765478609193242,0.8023961702527181,-0.0991078108146003,0.032595811333217095,-0.002882739304596621
0.043478260869565216,0.052173913043478265,2.8383550345545165,0.20140023140400712,0.19878335919038045,0.008950141674131856,0.006333216170373107,0.8056009256160285,-0.09939167959519023,0.035800566696527425,-0.0031666080851865536
0.043478260869565216,0.05652173913043478,2.8244966329194714,0.20221243932624425,0.1993590640362425,0.009762349596368985,0.006908921016235164,0.808849757304977,-0.09967953201812126,0.03904939838547594,-0.003454460508117582
0.043478260869565216,0.06086956521739131,2.8105758644555876,0.2030359103692003,0.1999429147757226,0.010585820639325033,0.0074927717557152496,0.8121436414768012,-0.0999714573878613,0.04234328255730013,-0.0037463858778576248
0.043478260869565216,0.06521739130434782,2.7965921234932773,0.20387089599110075,0.20053509572170836,0.011420806261225491,0.00808495270170101,0.815483583964403,-0.10026754786085418,0.045683225044901965,-0.004042476350850505
0.043478260869565216,0.06956521739130435,2.782544795221066,0.2047176553558757,0.20113579670743167,0.012267565626000426,0.008685653687424327,0.8188706214235028,-0.10056789835371584,0.049070262504001705,-0.004342826843712164
0.043478260869565216,0.07391304347826087,2.7684332555037434,0.2055764556334193,0.20174521345774907,0.013126365903544046,0.00929507043774172,0.8223058225336772,-0.10087260672887453,0.052505463614176184,-0.00464753521887086
0.043478260869565216,0.0782608695652174,2.7542568706966746,0.2064475723140667,0.20236354797515235,0.01399748258419145,0.009913404955145005,0.8257902892562669,-0.10118177398757618,0.0559899303367658,-0.004956702477572503
0.043478260869565216,0.08260869565217391,2.740014997437599,0.20733128953808014,0.20299100867118428,0.014881199808204876,0.010540865651176928,0.8293251581523206,-0.10149550433559214,0.0595247992328195,-0.005270432825588464
0.043478260869565216,0.08695652173913043,2.7257069824476168,0.20822790044099054,0.20362781043060788,0.01577781071111528,0.011177667410600528,0.8329116017639622,-0.10181390521530394,0.06311124284446112,-0.005588833705300264
0.043478260869565216,0.09130434782608696,2.7113321623328592,0.20913770751569394,0.20427417509461282,0.016687617785818676,0.011824032074605473,0.8365508300627758,-0.10213708754730641,0.0667504711432747,-0.005912016037302736
0.043478260869565216,0.09565217391304348,2.6968898633508815,0.2100610229922601,0.20493033196372296,0.01761093326238483,0.012480188943715609,0.8402440919690404,-0.10246516598186148,0.07044373304953933,-0.006240094471857804
