w_q,k,f_r0,Omega_star,lambda_star,deltaOmega_over_Omega0,deltaLambda_over_lambda0,omega_re,omega_im,delta_omega_re,delta_omega_im
-0.9506172839506173,0.009629629629629627,0.2596842301388971,0.17118942495243408,0.16969233195941813,-0.1104736547916545,-0.11825277817433155,0.6847576998097363,-0.08484616597970907,-0.08504265910976472,0.011378878885228566
-0.9506172839506173,0.01111111111111111,0.24835359887821457,0.16791855344821238,0.16619113845627087,-0.12746960168267818,-0.13644551327807486,0.6716742137928495,-0.08309556922813544,-0.09812614512665152,0.013129475636802196
-0.9506172839506173,0.01259259259259259,0.23702296761753205,0.16464768194399065,0.1626899449531236,-0.14446554857370197,-0.15463824838181817,0.6585907277759626,-0.0813449724765618,-0.11120963114353843,0.014880072388375826
-0.9506172839506173,0.014074074074074069,0.22569233635684957,0.16137681043976895,0.15918875144997638,-0.16146149546472566,-0.17283098348556136,0.6455072417590758,-0.07959437572498819,-0.12429311716042524,0.01663066913994944
-0.9506172839506173,0.015555555555555555,0.21436170509616703,0.15810593893554722,0.15568755794682912,-0.17845744235574956,-0.19102371858930478,0.6324237557421889,-0.07784377897341456,-0.13737660317731215,0.01838126589152307
-0.9506172839506173,0.017037037037037035,0.20303107383548452,0.15483506743132552,0.15218636444368186,-0.19545338924677325,-0.2092164536930481,0.6193402697253021,-0.07609318222184093,-0.15046008919419895,0.0201318626430967
-0.9506172839506173,0.018518518518518514,0.19170044257480204,0.1515641959271038,0.14868517094053463,-0.21244933613779704,-0.22740918879679128,0.6062567837084152,-0.07434258547026731,-0.16354357521108587,0.021882459394670317
-0.9506172839506173,0.02,0.1803698113141195,0.14829332442288207,0.14518397743738737,-0.22944528302882083,-0.2456019239005347,0.5931732976915283,-0.07259198871869368,-0.17662706122797278,0.023633056146243947
-0.9259259259259259,-0.02,0.4743419199820424,0.23315576245971567,0.23734358887225068,0.21151287997306345,0.23327346433243212,0.9326230498388627,-0.11867179443612534,0.16282269091936163,-0.02244674957118771
-0.9259259259259259,-0.018518518518518517,0.4638968394895454,0.23014052744269045,0.23401814449133398,0.19584525923431806,0.21599394845595565,0.9205621097707618,-0.11700907224566699,0.15076175085126076,-0.02078402738072936
-0.9259259259259259,-0.017037037037037038,0.4534517589970485,0.22712529242566526,0.2306927001104173,0.18017763849557267,0.19871443257947918,0.908501169702661,-0.11534635005520864,0.13870081078316,-0.019121305190271012
-0.9259259259259259,-0.015555555555555555,0.4430066785045515,0.22411005740864,0.2273672557295006,0.16451001775682705,0.1814349167030027,0.89644022963456,-0.1136836278647503,0.126639870715059,-0.017458582999812663
-0.9259259259259259,-0.014074074074074076,0.4325615980120545,0.2210948223916148,0.22404181134858392,0.14884239701808166,0.16415540082652647,0.8843792895664592,-0.11202090567429196,0.11457893064695812,-0.01579586080935433
-0.9259259259259259,-0.012592592592592593,0.4221165175195576,0.2180795873745896,0.22071636696766722,0.13317477627933627,0.14687588495005,0.8723183494983584,-0.11035818348383361,0.10251799057885735,-0.01413313861889598
-0.9259259259259259,-0.011111111111111112,0.4116714370270606,0.21506435235756438,0.21739092258675052,0.11750715554059088,0.12959636907357353,0.8602574094302575,-0.10869546129337526,0.09045705051075648,-0.01247041642843763
-0.9259259259259259,-0.00962962962962963,0.4012263565345636,0.2120491173405392,0.21406547820583383,0.10183953480184549,0.11231685319709706,0.8481964693621568,-0.10703273910291691,0.07839611044265571,-0.010807694237979282
-0.9259259259259259,-0.00814814814814815,0.3907812760420667,0.20903388232351394,0.21074003382491713,0.08617191406309987,0.09503733732062059,0.8361355292940558,-0.10537001691245856,0.06633517037455472,-0.009144972047520933
-0.9259259259259259,-0.006666666666666668,0.3803361955495697,0.20601864730648872,0.2074145894440004,0.07050429332435448,0.07775782144414412,0.8240745892259549,-0.1037072947220002,0.05427423030645384,-0.00748224985706257
-0.9259259259259259,-0.005185185185185187,0.36989111505707273,0.20300341228946353,0.2040891450630837,0.05483667258560909,0.060478305567667645,0.8120136491578541,-0.10204457253154185,0.042213290238353074,-0.005819527666604221
-0.9259259259259259,-0.0037037037037037056,0.3594460345645758,0.1999881772724383,0.200763700682167,0.0391690518468637,0.043198789691191175,0.7999527090897532,-0.1003818503410835,0.030152350170252196,-0.004156805476145872
-0.9259259259259259,-0.0022222222222222227,0.3490009540720788,0.19697294225541306,0.1974382563012503,0.023501431108118087,0.025919273814714705,0.7878917690216523,-0.09871912815062515,0.018091410102151206,-0.0024940832856875234
-0.9259259259259259,-0.0007407407407407432,0.3385558735795819,0.19395770723838787,0.1941128119203336,0.007833810369372696,0.008639757938238235,0.7758308289535515,-0.0970564059601668,0.006030470034050439,-0.0008313610952291745
-0.9259259259259259,0.0007407407407407397,0.3281107930870849,0.19094247222136265,0.1907873675394169,-0.007833810369372696,-0.008639757938238235,0.7637698888854506,-0.09539368376970846,-0.006030470034050439,0.0008313610952291745
-0.9259259259259259,0.002222222222222219,0.3176657125945879,0.18792723720433746,0.18746192315850022,-0.023501431108118087,-0.025919273814714705,0.7517089488173498,-0.09373096157925011,-0.018091410102151206,0.0024940832856875234
-0.9259259259259259,0.003703703703703702,0.307220632102091,0.18491200218731224,0.18413647877758352,-0.03916905184686348,-0.043198789691191175,0.739648008749249,-0.09206823938879176,-0.030152350170252085,0.004156805476145872
-0.9259259259259259,0.005185185185185185,0.296775551609594,0.181896767170287,0.18081103439666682,-0.05483667258560909,-0.060478305567667645,0.727587068681148,-0.09040551719833341,-0.042213290238353074,0.005819527666604221
-0.9259259259259259,0.0066666666666666645,0.28633047111709703,0.1788815321532618,0.17748559001575012,-0.07050429332435448,-0.077757821444144,0.7155261286130472,-0.08874279500787506,-0.05427423030645384,0.00748224985706257
-0.9259259259259259,0.008148148148148147,0.27588539062460005,0.17586629713623658,0.17416014563483342,-0.08617191406309987,-0.09503733732062047,0.7034651885449463,-0.08708007281741671,-0.06633517037455472,0.009144972047520919
-0.9259259259259259,0.009629629629629627,0.2654403101321031,0.17285106211921136,0.17083470125391673,-0.10183953480184538,-0.11231685319709694,0.6914042484768455,-0.08541735062695836,-0.0783961104426556,0.010807694237979268
-0.9259259259259259,0.01111111111111111,0.25499522963960614,0.16983582710218617,0.16750925687300003,-0.11750715554059066,-0.12959636907357341,0.6793433084087447,-0.08375462843650001,-0.09045705051075636,0.012470416428437617
-0.9259259259259259,0.01259259259259259,0.2445501491471092,0.16682059208516092,0.16418381249208333,-0.13317477627933627,-0.14687588495004988,0.6672823683406437,-0.08209190624604167,-0.10251799057885735,0.014133138618895966
-0.9259259259259259,0.014074074074074069,0.23410506865461225,0.16380535706813573,0.16085836811116663,-0.14884239701808166,-0.16415540082652635,0.6552214282725429,-0.08042918405558332,-0.11457893064695812,0.015795860809354315
-0.9259259259259259,0.015555555555555555,0.22365998816211524,0.1607901220511105,0.15753292373024994,-0.16451001775682716,-0.18143491670300282,0.643160488204442,-0.07876646186512497,-0.126639870715059,0.017458582999812663
-0.9259259259259259,0.017037037037037035,0.21321490766961831,0.15777488703408526,0.15420747934933324,-0.18017763849557267,-0.19871443257947918,0.6310995481363411,-0.07710373967466662,-0.13870081078316,0.019121305190271012
-0.9259259259259259,0.018518518518518514,0.20276982717712136,0.15475965201706007,0.15088203496841654,-0.19584525923431806,-0.21599394845595565,0.6190386080682403,-0.07544101748420827,-0.15076175085126076,0.02078402738072936
-0.9259259259259259,0.02,0.19232474668462435,0.15174441700003485,0.14755659058749981,-0.21151287997306356,-0.23327346433243223,0.6069776680001394,-0.07377829529374991,-0.16282269091936163,0.022446749571187724
-0.9012345679012346,-0.02,0.4633213281584585,0.2299743916317281,0.23498449504066315,0.19498199223768764,0.22101525320403637,0.9198975665269123,-0.11749224752033158,0.1500972076074113,-0.021267202655393946
-0.9012345679012346,-0.018518518518518517,0.45369258780104177,0.22719481371307235,0.2318337983509752,0.18053888170156274,0.20464375296670045,0.9087792548522894,-0.1159168991754876,0.13897889593278834,-0.01969185431054997
-0.9012345679012346,-0.017037037037037038,0.44406384744362515,0.22441523579441655,0.2286831016612872,0.1660957711654376,0.18827225272936432,0.8976609431776662,-0.1143415508306436,0.12786058425816516,-0.018116505965705965
-0.9012345679012346,-0.015555555555555555,0.43443510708620847,0.22163565787576078,0.2255324049715992,0.15165266062931249,0.1719007524920284,0.8865426315030431,-0.1127662024857996,0.11674227258354208,-0.016541157620861974
-0.9012345679012346,-0.014074074074074076,0.4248063667287918,0.21885607995710502,0.2223817082819112,0.13720955009318758,0.15552925225469227,0.8754243198284201,-0.1111908541409556,0.10562396090891901,-0.014965809276017969
-0.9012345679012346,-0.012592592592592593,0.4151776263713751,0.21607650203844928,0.21923101159222322,0.12276643955706268,0.13915775201735636,0.8643060081537971,-0.10961550579611161,0.09450564923429605,-0.013390460931173978
-0.9012345679012346,-0.011111111111111112,0.40554888601395844,0.2132969241197935,0.2160803149025352,0.10832332902093755,0.12278625178002023,0.853187696479174,-0.1080401574512676,0.08338733755967298,-0.011815112586329973
-0.9012345679012346,-0.00962962962962963,0.39592014565654177,0.21051734620113774,0.21292961821284723,0.09388021848481265,0.10641475154268432,0.842069384804551,-0.10646480910642361,0.07226902588504991,-0.010239764241485982
-0.9012345679012346,-0.00814814814814815,0.3862914052991251,0.20773776828248197,0.20977892152315922,0.07943710794868752,0.09004325130534818,0.8309510731299279,-0.10488946076157961,0.06115071421042684,-0.008664415896641978
